customer_id,customer_company_name,contact_first_name,contact_last_name,phone,address_line1,address_line2,city,state,postal_code,country,territory
1,"Land of Toys Inc.",Kwai,Yu,2125557818,"897 Long Airport Avenue",,NYC,NY,10022,USA,NA
2,"Reims Collectables",Paul,Henriot,26.47.1555,"59 rue de l'Abbaye",,Reims,,51100,France,EMEA
3,"Lyon Souveniers",Daniel,"Da Cunha","+33 1 46 62 7555","27 rue du Colonel Pierre Avia",,Paris,,75508,France,EMEA
4,Toys4GrownUps.com,Julie,Young,6265557265,"78934 Hillside Dr.",,Pasadena,CA,90003,USA,NA
5,"Corporate Gift Ideas Co.",Julie,Brown,6505551386,"7734 Strong St.",,"San Francisco",CA,,USA,NA
6,"Technics Stores Inc.",Juri,Hirano,6505556809,"9408 Furth Circle",,Burlingame,CA,94217,USA,NA
7,"Daedalus Designs Imports",Martine,Rance,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA
8,"Herkku Gifts",Veysel,Oeztan,"+47 2267 3215","Drammen 121, PR 744 Sentrum",,Bergen,,"N 5804",Norway,EMEA
9,"Mini Wheels Co.",Julie,Murphy,6505555787,"5557 North Pendale Street",,"San Francisco",CA,,USA,NA
10,"Auto Canal Petit",Dominique,Perrier,"(1) 47.55.6555","25, rue Lauriston",,Paris,,75016,France,EMEA
11,"Australian Collectors, Co.",Peter,Ferguson,"03 9520 4555","636 St Kilda Road","Level 3",Melbourne,Victoria,3004,Australia,APAC
12,"Vitachrome Inc.",Michael,Frick,2125551500,"2678 Kingston Rd.","Suite 101",NYC,NY,10022,USA,NA
13,"Tekni Collectables Inc.",William,Brown,2015559350,"7476 Moss Rd.",,Newark,NJ,94019,USA,NA
14,"Gift Depot Inc.",Julie,King,2035552570,"25593 South Bay Ln.",,Bridgewater,CT,97562,USA,NA
15,"La Rochelle Gifts",Janine,Labrune,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA
16,"Marta's Replicas Co.",Marta,Hernandez,6175558555,"39323 Spinnaker Dr.",,Cambridge,MA,51247,USA,NA
17,"Toys of Finland, Co.",Matti,Karttunen,"90-224 8555","Keskuskatu 45",,Helsinki,,21240,Finland,EMEA
